party,work_for
Suomen Sosialidemokraattinen Puolue,"Ihminen ei elä vain leivästä â€“ tarvitaan myös arvoja ja henkistä hyvinvointia. Kiusaaminen, välinpitämättömyys, ihmisten yksinäisyys ja siitä aiheutuva syrjäytymisen kierre on saatava loppumaan. Meidän siis seuraavalla vaalikaudella keskityttävä olennaiseen, eli ihmiseen. Henkiselle hyvinvoinnille on rakennettava edellytykset. Se tarkoittaa, että koulutukseen, sivistykseen ja kulttuurin on ruvettava satsaamaan. Se jos mikään luo uusia työpaikkoja.    Tiedän, miltä tuntuu jäädä vaille henkistä tukea. Koulutuksen tulee tukea yhteisöllisyyttä ja yksilön kasvua. Yhteisöllisyyttä edistäviä toimenpiteitä kuten asukastilatoimintaa on kehitettävä ja vahvistettava. Nuoret tarvitsevat uskoa huomiseen. Heidän hyvinvointinsa, koulutusmahdollisuudet ja toimeentulo on turvattava. On tuettava nuoria aktivoivia ja kehittäviä hankkeita.     Meidän on elvytettävä ja luotava uusia työpaikkoja, jotta voimme maksaa velat. Inhimilliseen pääomaan tulee investoida leikkausten sijaan. Yhteiskunnan on tuettava pk-yrityksiä, jotta ne voivat työllistää myös nuoria. Suomen eriarvoistuminen on estettävä oikeudenmukaisella tulonjaolla.     Verorahoja ei pidä tuhlata eikä ihmisiä syrjäyttää vapaamatkustajiksi. Monikulttuurisuus on otettava huomioon päätöksenteon kaikilla tasoilla."
Suomen Kristillisdemokraatit (KD),"Tahdon edistää koulutusmahdollisuuksien säilymistä koko maassa, maaseudun elinkelpoisuutta, kansallista yhtenäisyyttä ja yhteiskunnan oikeudenmukaisuutta."
Vihreä liitto,Haluan aktiivisesti edistää uusiutuvien energiamuotojen kehitystä ja tuotantoa.
Vasemmistoliitto,"Vaihtoehtoja talouskasvuriippuvaiselle rahataloudelle, tuotantoeläintaloudelle, ydin- ja fossiilienergiariippuvuudelle sekä rakennusten ja kulutustuotteiden lyhyeen elinkaareen pyrkimiselle."
Vasemmistoliitto,"Oikeudenmukaisuutta, tasa-arvoa ja suomalaista hyvinvointiyhteiskuntaa. Lisäksi haluan saada Suomen varjotalouden kuriin."
Vihreä liitto,Eduskunnassa tulen rakentamaan perustuloa ja eurooppalaista turvallisuutta ilman Natoa.
Suomen Kristillisdemokraatit (KD),"Kodit, kaupungit ja kansa irti velkakierteestä  â€¢ Talous- ja velkaneuvontaa lisättävä  â€¢ Kouluihin viisaan rahatalouden opetusta  â€¢ Pikavipit pannaan  Jaetaan sitä hyvää mitä meillä on   â€¢ Ruoan kärrääminen kaatopaikoille lopetettava  â€¢ Yhteistyötä lisättävä kolmannen sektorin kanssa ja siihen varoja  â€¢ Maahanmuuttajien ammattitaito Suomen hyödyksi  Pidetään huoli perinnöstämme â€“ kestävistä arvoista  â€¢ Vanhempien sydämet lasten puoleen ja lasten sydämet vanhempien puoleen  â€¢ Kristilliset arvot ja johtajuus kunniaan työpaikoilla!"
Suomen Kristillisdemokraatit (KD),1. Jokaisella ihmisellä tulee olla oikeus elää.  2. Yhden miehen ja yhden naisen avioliitto.  3. Kaikille mahdollisuus kohtuulliseen toimeentuloon.  4. Työttömyysturvasta työllisyysturvaan.  5. Yhteiskunnan tulee perustua oikeuksien ja vastuun tasapainoon.  6. Harkintaa maahanmuuttopolitiikkaan  7. Kansainvälistä vastuuta ei saa unohtaa eikä sitä saa hoitaa vasemmalla kädellä.  8. NATO-jäsenyyden riskiä ei kannata ottaa.
Kansallinen Kokoomus,"Haluan Suomeen Uuden ajan politiikan. Suomea tulee johtaa kuin yritystä.  Yrittäjähengellä, tehokkaasti, ja ammattitaidolla.  Ei enää poliitiisia virkanimityksiä. Työnteon on oltava nykyistä kannattavampaa  ja ihmisille on mahdollisuus ottaa vastuu itsestään. Virkaintoilijat ja byrokraatit on laitettava kuriin. Markkinoita vääristäviä ja  passivoivia tukia on karsittava.Yrittäjyyttä on voitava kokeilla. Kansanedustajille velvollisuusraportoida säännöllisesti missä mennään."
Suomen Keskusta,"Koulutukseen panostamalla ja sitä aktiivisesti kehittämällä luomme uutta yritystoimintaa ja parannamme taloudellisia mahdollisuuksia huolehtia meistä jokaisesta, lapsista ja nuorista, työikäisistä ja ikäihmisistä.     Kuluvalla vaalikaudella koulutukselta vietiin 1,7 miljardia euroa. Tämä suunta ei voi jatkua. Olen huolissani lasten ja nuorten hyvinvoinnista, arjen turvallisuudesta ja syrjäytymisen vaaroista.     Työtätekevien jaksamisesta ja työttömien koulutusmahdollisuuksista tulee huolehtia.     Ikäihmisille valinnanvapaus vaihtoehtoisissa hoivapalveluiden muodoissa luo arvokasta vanhuutta. Tukipalvelujen on oltava riittävää ja hoitoon on päästävä viipymättä."
Vasemmistoliitto,"Työn ja toimeentulon varmistamista, kattavia ja maksuttomia julkisia palveluita sekä sitä, että Suomi pysyy sotilasliittojen ja Euroopan konfliktien ulkopuolella."
Perussuomalaiset,"Tärkeintä on se, että sekä työn antaminen, että työn vastaan ottaminen saadaan tehtyä kannattaviksi."
Suomen Keskusta,"Suomesta on tehty suomalaisille liian kallis maa. Kalleudesta on peruutettava pois. Sääntelyä on purettava, byrokratiaa poistettava."
Kansallinen Kokoomus,"Suomen kilpailukyvyn parantaminen (byrokratian purku ja kustannusten alentaminen), nopeiden liikenneyhteyksien parantaminen, energiaomavaraisuuden nosto ja työn nostaminen ensisijaiseksi vaihtoehdoksi."
Suomen Keskusta,Halua edistää pienituloisten ja yksinelävien asemaa yhteiskunnassamme.    Haluan vaikuttaa asumiskustannusten kohtuullisuuteen. Haluan edistää työllisyyttä lisäämällä sosiaalisia yrityksiä sekä parantaa yksin yrittäjien asemaa.    Haluan edesauttaa valtion talouden tasapainottamista sekä uusiutuvien energiamuotojen käyttöönottoa.
Vasemmistoliitto,"Työntekijöiden asemaa yhteiskunnassa, kestäviä energiaratkaisuja sekä toimivia liikenneyhteyksiä"
Suomen Sosialidemokraattinen Puolue,Lapsista ja nuorista huolehditaan. Koulutetaan hyvin ja ohjataan  työelämään. Työelämän pelisäännöt reilut ja tasa- arvoiset jotta jaksetaan eläkkeelle asti. Vanhukset hoidetaan hyvin sekä kotona että laitoshoidossa riittävällä henkilökunnalla.
Vasemmistoliitto,"Tasa-arvoisempaa Suomea, ei pelkästään naisen ja miehen välillä vaan myös tasa-arvoisempaa Suomea etelän kasvukeskusten ja pohjoisen autioituvien kylien asukkaiden välille. Investoimalla Lappiin tuotetaan työtä ja luodaan toimeenturvaa..  Perusturvamallin kokeiluhanke Lappiin. Lapsiperheiden ja nuorten aikuisten valoisamman tulevaisuuden eteen meidän on kaikkien tehtävä työtä. Poliittisessa päätöksenteossa on ollut pitkään nähtävissä lyhytnäköisyys ja minäkeskeisyys. Nyt on aika muuttaa suuntaa."
Perussuomalaiset,"Teollisuuspolitiikan eri osa-alueet ovat lempiaiheitani, samoin sosiaali- ja terveydenhuoltoon liityvät kysymykset. Omaishoitajien tilanne vaatii parannuksia. Ikäihmisiä, jotka ovat rakentaneet tämän maan ei saa unohtaa. Veteraaneja, maamme kunniakansalaisia, on tänä päivänä vielä elossa 26 000 ja heidän kuntoutusasiansa on saatava järjestymään ilman, että heidän tarvitsee enää miettiä tukihakemusten täyttämistä puhumattakaan tukipalveluista, joita he tarvitsevat. Ulosotossa olevien asioita tulisi myös ajaa ja erityisesti edelleen 90-luvun pankkikriisistä kärsivien kansalaisten tilannetta tulisi helpottaa. Teolliset työpaikat tulee säilyttää. Tarvitsemme niitä nyt ja tulevaisuudessa. Tämän asian suhteen tarvitaan oikeasti tekoja, ei juhlapuheita. Teollisuuden toimintaedellytykset on turvattava, kasvuyritysten ja innovatiivisten pienten yritysten toimintaympäristö on saatava investointeja houkuttelevaksi erityisesti vientiä harjoittaville yrityksille. Pitkäjänteinen ja johdonmukainen energiapolitiikka tuo työtä ja toimeentuloa Suomeen. Haluan ehdottomasti edistää energiaomavaraisuuttamme. Kaikenlainen jarruttelu luvitusten ja sääntelyn kautta on saatava loppumaan."
Suomen Kristillisdemokraatit (KD),Haluan edistää kohtuullista elämäntapaa ja torjua eriarvoisuutta. Kannatan avoimuutta ja läpinäkyvyyttä päätöksen teoissa.
Suomen Kristillisdemokraatit (KD),"Haluan nähdä oikeudenmukaisen Suomen, joka välittää nuorista, perheistä, vanhuksista ja rikosten uhreista. Esimerkiksi nuorten puutteelliset mielenterveyspalvelut, vanhustenhoidon riittämättömät resurssit sekä seksuaali- ja väkivaltarikoksista langetettavat mitättömät tuomiot kaipaavat pikaista puuttumista, jotta viesti ihmisarvosta välittyisi myös heikommassa asemassa oleville."
Perussuomalaiset,"Uskon, että yhteistyöllä Suomen talous saadaan kuntoon. Työpaikkojen syntymisen edistämiseksi yritysverotusta on kevennettävä. Lisäksi keskituloisten veroastetta on vähitellen kevennettävä. EU:n kriisimaiden taloudellinen tukeminen on lopetettava.     Maahanmuuttopolitiikkaan kaipaan maalaisjärkeä ja oikeudenmukaisuutta. Suomeen on tervetullut esimerkiksi töihin kun kunnioittaa lakia ja kulttuuria. Vankeusrangaistukseen tuomitut ulkomaalaiset on karkotettava Tanskan mallin mukaisesti.     Suomea rakentaneelle sukupolvelle on taattava arvokkaat eläkepäivät. Omaishoidon tuen maksaminen on siirrettävä kunnilta Kelalle.     A-olut ja viini ruokakauppoihin, autovero on poistettava, kotihoidon tuen jako on annettava vanhempien itsensä päätettäväksi ja kieliopintoihin valinnanvapaus."
Vihreä liitto,"- Perustulosta turvaa pätkä- ja silpputyön tekijöille ja yrittäjille. Tehdään työnteosta aina kannattavaa.    - Perheiden arki sujuvaksi. Jaetaan vanhempainvapaa joustavasti vanhempien kesken. Tuetaan osa-aikatyötä, kun lapsi on alle kouluikäin"
Perussuomalaiset,"Peruspalvelut kuntoon, työtä yrittäjyydestä, oikeudenmukaisempi Suomi, hyvinvointia arkeen ja Suomen etu edellä päätöksenteossa."
Suomen Sosialidemokraattinen Puolue,"Oikeudenmukainen ja tasa-arvoinen yhteiskunta on minun isänmaani. Siellä pidetään huolta kodeista, koulusta, työstä ja kaikenikäisistä ihmisistä. Siellä uskalletaan katsoa eteenpäin ja pyritään luomaan uutta."
Perussuomalaiset,Tavallisen ihmisen asioita.
Kansallinen Kokoomus,"Meidän on tavoiteltava talouskasvua, viennin edistämistä ja kilpailukykyä ja uudistettava yhteiskuntaa, jotta voimme turvata hyvinvointimme.    1. Kilpailukykyinen koulutus  Koulutus on kilpailukykymme perusta. Kun työelämä muuttuu ja maailma muuttuu, koulun on muututtava mukana.   - Yksilöllisiä väyliä toiselle asteelle ja työelämään, lahjakkuuden huomioimista, yrittäjyyskasvatusta, kansainvälisyyttä   - Ammatti- ja korkeakoulutuksen työelämäyhteensopivuuden ja laadun kehittämistä    2. Uutta työtä!  Yhteiskunnan on kannustettava työntekoon, yrittämiseen ja työpaikkojen luomiseen.   - Pk-yritysten toimintaedellytyksiä on parannettava. Työllistäminen helpommaksi: mm. työllistämisen sivukulut, vanhempainvapaan kustannusten reilu jakaminen, uuden työntekijän koeajan pidentäminen.  - Verotuksella ei saa nujertaa eteenpäin yrittävää.   - Kahlitsevaa sääntelyä on purettava, samoin kuin raskasta byrokratiaa.  - Pohjois-Suomen on huolehdittava aktiivisemmin omasta edustaan.   - Pohjoisten kansanedustajien on suunniteltava, kuinka saamme edistettyä alueemme väylähankkeita, investointeja ja työllistäviä hankkeita.     3. Turvallinen toimintaympäristö  Vahva elinkeinoelämä, taloudellinen ja sosiaalinen hyvinvointi tuovat yhteiskunnallista vakautta.  - Uskottava, vahva puolustus   - Venäjä-tuntemuksen hyödyntäminen ja aktiivinen diplomatia  - Huoltovarmuus  - Energiaomavaraisuus, uudet energianlähteet kuten bioenergia."
Kansallinen Kokoomus,"Suomella on ollut vaikeuksia sopeutua kansainväliseen kilpailuun. Talouskasvusta on hukattu vuosikymmen ja kustannuskilpailukykymme on heikentynyt. Samalla julkinen talous elää velaksi.     Uskon kuitenkin Suomeen ja suomalaiseen työhön. Meillä on kaikki edellytykset menestyä muuttuneessa maailmassa, kunhan vain uskallamme rohkeasti uudistua.    Ensi vaalikaudella on työnteosta ja teettämisestä tehtävä kannattavaa ja julkinen talous on saatava tasapainotettua. Työmarkkinoita on joustavoitettava ja ansiotuloverotusta on kevennettävä. Myös järkevällä energiapolitiikalla parannetaan talouskasvun edellytyksiä.    Tutustu lisää ajatuksiini www.eliaseramaja.fi"
Suomen Kristillisdemokraatit (KD),"Julkisen talouden tasapainotusta, yrittäjyyttä ja työpaikkoja, uusiutuvaa energiaa, EU-linjauksia, ITC-tekniikan soveltamista ja t&k&i-toiminnan lisäämistä."
Suomen Keskusta,Suomi tarvitsee selkeän tavoitteen ilmastonmuutoksen torjunnassa - 100% kestävillä uusiutuvilla toimivan yhteiskunnan. Talous- ja sosiaalipolitiikassa ohjenuoraksi tulee nostaa kohtuus ja onnellisuus ja valtion velkaantuminen tulee pysäyttää. Haluan Suomesta myös rauhanrakentamisen ja konfliktinratkaisun kansainvälisen mahtimaan.
Suomen Kristillisdemokraatit (KD),"Haluan edistää vastuullista talous- ja työllisyyspolitiikkaa, tukea turvallista lapsuutta ja perheiden asemaa, ikäihmisten ja vammaisten arvostusta ja kristillisiä arvoja"
Suomen Kristillisdemokraatit (KD),Lapsiperheiden hyvinvointia sekä pienten ja keskisuurten yritysten mahdollisuuksia kasvaa.
Suomen Sosialidemokraattinen Puolue,"Taloutta, työllisyyttä, terveyttä."
Suomen Sosialidemokraattinen Puolue,"Haluan luoda ihmisen mittaista työtä ja auttaa ihmisiä työllistymään, taistella eriarvoistumista vastaan ja muuttaa verotusta reilummaksi, uudistaa julkisia palveluita ja puolustaa terveyspalveluja kylmältä voitontavoittelulta."
Vihreä liitto,"Ymmärrän, että tulevaisuus on uusiutuvissa energioissa, puhtaassa lähiruuassa, biotaloudessa, luontaistaloudessa ja matkailussa - ei Fennovoima Rosatomin uraanivoimassa, taikka vesistöjä saastuttavassa Talvivaarassa. Edesautan asioita jotka toteuttavat pääsyä näihin päämääriin."
Kansallinen Kokoomus,Liikuntapaikat kuntoon - lapset ja aikuiset liikkeelle. Erityisesti pk-yritysten toimintaedellytyksiä on parannettava esim. alv-veron alarajan nosto 50 000 â‚¬ ja/tai sen porrastaminen. Nuorten ääni kuuluviin päätöksenteossa. Nuorille puhe- ja läsnäolo-oikeus kun asioista päätetään.
Vihreä liitto,"1. Turvataan laadukas koulutusjärjestelmämme ja lopetetaan sen alasajo. Kehitetään koulutusta teknologian, kansainvälistymisen ja yrittäjäkasvatuksen avulla.  2. Nostetaan luova talous ja ympäristöteknologia Suomen viennin vetureiksi.  3. Luodaan parempi toimintaympäristö mikro- ja pienyrittäjille.  4. Modernisoidaan julkisen sektorin toimintatavat hyödyntämällä mm. uutta teknologiaa."
Kansallinen Kokoomus,"Turvallisuus on luonnollisesti eritysasemassa oman ammattini kautta ja nykyään turvallisuus tulee taata myös verkossa. Oli sitten kysymys somen arkipäiväistyneestä rikollisuudesta tai kyberturvallisuudesta.    Nuorille tulee löytää järkevää tekemistä. Ennen potkittiin katulamppuja pimeäksi, nykyään kyykytetään kokonainen pankin järjestelmä netin kautta. Nuorten osaaminen tulee ohjata hyötykäyttöön. Koko perheen tukeminen on välillisesti myös yksittäisen nuoren kasvun tukemista.    Kaikkea päätöksentekoa tulee leimata lause ""enemmän maalaisjärkeä, vähemmän byrokratiaa"". Sääntelyn tarkoituksena on helpottaa asioiden hoitamista, ei vaikeuttaa. Oli sitten kyse työn saamisesta tai alkoholipolitiikasta.    Digitalisaatio tulee ottaa huomioon kustannustehokkaana toimintona, vaikka se ei korvaakaan kaikkea kasvokkain tapahtuvaa toimintaa. Verottajan palvelu on hyvä esimerkki, mutta esimerkiksi soteen liittyen on paljon mahdollisuuksia.    Rikoksen uhrin asemaa tulee parantaa edelleen erinäisin tavoin. Periaatteellisella tasolla tätä kuvaa esimerkiksi se, että koulukiusattu ei vaihda koulua, vaan kiusaaja. Samaan luokkaan voidaan lukea myös lapsen asema, jossa lapsen etu tulee aina asettaa etusijalle."
Suomen Keskusta,"Haluan vaikuttaa sosiaali- ja terveydenhuollon uudistamiseen asiakaslähtöisesti. Haluan kehittää yhteiskuntaa niin, että arvioimme päätösten vaikutukset ihmisiin ja heidän hyvinvointiinsa. Hyvinvoiva ihminen on tuottoisa, pahoinvoiva ei ole. Lapsiperheiden ja ikäihmisten asiat ovat lähellä sydäntäni. Haluan myös olla tukemassa pk-yrittäjyyttä uusien työpaikkojen lisäämiseksi."
Vasemmistoliitto,"Ensin: köyhyyden ja pienituloisuuden lisääntymiseen, ja edelliseen liittyvä tuloerojen kasvu on saatava poikki. Kertakaikkiaan. Asumiskustannukset ovat kohtuuttomia. Stoppi pankeille ja gryndereille!!"
Suomen Kristillisdemokraatit (KD),"Nuorten ja lasten asioita, sote-asioita, tehdä töitä harmaan talouden kytkemiseksi, parantaa köyhimpien ja huono-osaisten asioita."
Vihreä liitto,"Maahanmuuttajien yritysten ja työnteon edistäminen, nuorten työllistyminen ja kulttuuriosaamisen rikastuttaminen työn tautta. Ikäihmisten hoidon parantaminen."
Kansallinen Kokoomus,"Yrittäjyyttä ja työllisyyden parantamista. Suomen talous on saatava tasapainoon, kohtuuton velkaantuminen on pysäytettävä. Suomen puolustusta ja turvallisuutta on vahvistettava."
Kansallinen Kokoomus,"Olen politiikassa rakentaakseni Suomea, joka on rohkea, avoin, uudistuva ja osaava. Tulevista sukupolvista välittävä. Ympäristövastuunsa kantava. Maa, joka ei taannu takapihaksi, vaan uskoo tulevaisuuteen.    Kun aika on vaikea, tarvitaan myös ratkaisuja, joista kaikki eivät pidä, mutta jotka ovat isänmaalle hyväksi.    Olen tehnyt eduskunnassa ja hallituksessa neljä vuotta lujasti töitä ja nostanut samalla Hämettä ""maailmankartalle"". Toivon saavani jatkaa tätä työtä!"
Suomen Keskusta,"Haluan parantaa vammaisten ihmisten mahdollisuutta koulutukseen, työhön ja yhteiskunnalliseen osallistumiseen. YK:n vammaissopimus on otettava käyttöön."
Vasemmistoliitto,"Puolustaa hyvinvointivaltiota ja sopimusyhteiskuntaa, edistää sivistystä."
Vihreä liitto,"Perheiden jaksaminen arjessa, riittävät päihde- ja mielenterveyspalvelut sekä luonnon ja ympäristön suojeleminen"
Perussuomalaiset,"Valtion talous ei tule tasapainottumaan, ellei järjettömiä menoja leikata. Suoraan sanoen meitä hyväuskoisia on jo aiemmin petkutettu, joten sitä jatketaan yhä uudelleen ja uudelleen, jotta maksaisimme velkaantuneiden EU-maiden tahalliset rahalliset sotkut. Matto on jo viety alta, ja maksattajien lista on jatkossakin pitkä. Luulisi, että petoksen kohteeksi joutuminen hävettäisi myös suurpuolueita! Sillä  vähäosaisimmat maksavat kalleimman kakun. Siihen ei ainakaan minun oikeustajuni eikä omatuntoni sopeudu!   Vaaliteemani: luottamusta lapsiperheille, näköaloja nuorille, vastuunkantoa vanhuksista, toimintakykyä työikäisille, voimaantumista vammaisuuteen, kulttuuriantia kullekin , pienyrittäjyyttä paikkakunnille.   Maaseudun elinvoimaisuuden turvaaminen ja säilyttäminen on tärkeää!"
Vasemmistoliitto,"lasten ja nuorten hyvinvointi, joukkoliikenne, Asumisen sietämättömät hinnat."
Vasemmistoliitto,"Yhdenvertaisuus, oikeudenmukaisuus ja kestävä kehitys."
Suomen Sosialidemokraattinen Puolue,"Työ, kohtuullinen toimeentulo, tasaisempi tulonjako. Vaadin hallitusohjelmaan lapsi- ja eläkeläisköyhyyden vähentämisohjelmaa. Eläkeläisille oikeutta, indeksit maksettava täysimääräisesti."
